step,elapsed_sec,lr,train_loss,val_loss
50,15.8,0.000080,5.5988,
100,32.7,0.000153,3.8697,
150,49.7,0.000227,3.5044,
200,67.4,0.000300,3.3012,
250,85.4,0.000300,3.1080,
250,85.4,,,2.9932
300,105.0,0.000299,2.9409,
350,122.5,0.000299,2.8136,
400,139.5,0.000298,2.7209,
450,156.6,0.000296,2.6377,
500,173.5,0.000295,2.5674,
500,173.5,,,2.5271
550,192.4,0.000293,2.5099,
600,209.4,0.000291,2.4645,
650,226.5,0.000288,2.4280,
700,244.0,0.000286,2.3899,
750,262.2,0.000283,2.3434,
750,262.2,,,2.3454
800,282.8,0.000280,2.3215,
850,301.2,0.000276,2.2935,
900,319.9,0.000273,2.2627,
950,341.4,0.000269,2.2422,
1000,362.9,0.000265,2.2179,
1000,362.9,,,2.2366
1050,386.4,0.000260,2.2023,
1100,404.8,0.000256,2.1809,
1150,423.3,0.000251,2.1653,
1200,441.9,0.000246,2.1467,
1250,460.2,0.000241,2.1307,
1250,460.2,,,2.1610
1300,480.8,0.000236,2.1107,
1350,499.3,0.000231,2.0901,
1400,517.9,0.000225,2.0841,
1450,536.2,0.000220,2.0693,
1500,554.7,0.000214,2.0553,
1500,554.7,,,2.1061
1550,575.4,0.000208,2.0436,
1600,593.4,0.000202,2.0311,
1650,611.9,0.000196,2.0259,
1700,630.3,0.000190,2.0092,
1750,648.7,0.000184,2.0005,
1750,648.7,,,2.0635
1800,669.5,0.000177,1.9831,
1850,688.0,0.000171,1.9789,
1900,706.1,0.000165,1.9788,
1950,724.4,0.000159,1.9697,
2000,742.6,0.000153,1.9513,
2000,742.6,,,2.0294
2050,763.2,0.000146,1.9451,
2100,781.5,0.000140,1.9255,
2150,799.6,0.000134,1.9358,
2200,818.0,0.000128,1.9174,
2250,836.0,0.000122,1.9170,
2250,836.0,,,2.0095
2300,856.4,0.000116,1.9055,
2350,875.0,0.000110,1.8974,
2400,893.4,0.000105,1.8830,
2450,911.8,0.000099,1.8789,
2500,930.5,0.000094,1.8793,
2500,930.5,,,1.9894
2550,950.6,0.000089,1.8818,
2600,969.0,0.000084,1.8720,
2650,988.0,0.000079,1.8675,
2700,1006.2,0.000074,1.8710,
2750,1024.5,0.000070,1.8598,
2750,1024.5,,,1.9729
2800,1044.8,0.000065,1.8542,
2850,1062.8,0.000061,1.8496,
2900,1081.1,0.000057,1.8447,
2950,1099.3,0.000054,1.8488,
3000,1117.4,0.000050,1.8422,
3000,1117.4,,,1.9624
3050,1137.8,0.000047,1.8395,
3100,1155.8,0.000044,1.8354,
3150,1174.2,0.000042,1.8368,
3200,1192.2,0.000039,1.8303,
3250,1210.4,0.000037,1.8282,
3250,1210.4,,,1.9553
3300,1231.1,0.000035,1.8263,
3350,1249.2,0.000034,1.8307,
3400,1267.5,0.000032,1.8269,
3450,1286.1,0.000031,1.8197,
3500,1304.1,0.000031,1.8109,
3500,1304.1,,,1.9484
3550,1324.5,0.000030,1.8185,
3600,1342.4,0.000030,1.8104,
3600,1342.4,,,1.9481
