step,elapsed_sec,lr,train_loss,val_loss
50,18.6,0.000080,7.5671,
100,39.5,0.000153,6.6605,
150,62.8,0.000227,6.1242,
200,89.6,0.000300,5.7624,
250,112.7,0.000300,5.5385,
250,112.7,,,5.3927
300,138.9,0.000299,5.3403,
350,163.2,0.000299,5.1631,
400,187.2,0.000298,5.0238,
450,210.4,0.000296,4.8964,
500,233.8,0.000295,4.7848,
500,233.8,,,4.7118
550,260.9,0.000293,4.6895,
600,285.9,0.000291,4.6052,
650,308.7,0.000288,4.5401,
700,330.7,0.000286,4.4611,
750,353.5,0.000283,4.3861,
750,353.5,,,4.3785
800,378.2,0.000280,4.3351,
850,400.6,0.000276,4.2877,
900,423.0,0.000273,4.2442,
950,446.2,0.000269,4.1936,
1000,467.9,0.000265,4.1577,
1000,467.9,,,4.1631
1050,491.5,0.000260,4.1156,
1100,511.9,0.000256,4.0744,
1150,533.0,0.000251,4.0341,
1200,553.6,0.000246,4.0052,
1250,574.2,0.000241,3.9736,
1250,574.2,,,4.0116
1300,597.6,0.000236,3.9423,
1350,618.3,0.000231,3.9092,
1400,638.8,0.000225,3.8814,
1450,659.5,0.000220,3.8555,
1500,680.2,0.000214,3.8389,
1500,680.2,,,3.9044
1550,703.3,0.000208,3.8042,
1600,724.1,0.000202,3.7792,
1650,744.7,0.000196,3.7657,
1700,765.3,0.000190,3.7484,
1750,786.2,0.000184,3.7463,
1750,786.2,,,3.8267
1800,808.9,0.000177,3.7034,
1850,829.8,0.000171,3.6961,
1900,850.5,0.000165,3.6744,
1950,871.0,0.000159,3.6660,
2000,891.8,0.000153,3.6488,
2000,891.8,,,3.7577
2050,917.1,0.000146,3.6272,
2100,941.0,0.000140,3.6168,
2150,964.0,0.000134,3.5948,
2200,988.0,0.000128,3.5853,
2250,1010.5,0.000122,3.5738,
2250,1010.5,,,3.7170
2300,1034.5,0.000116,3.5708,
2350,1055.3,0.000110,3.5523,
2400,1076.3,0.000105,3.5406,
2450,1097.0,0.000099,3.5355,
2500,1118.1,0.000094,3.5169,
2500,1118.1,,,3.6761
2550,1141.2,0.000089,3.5156,
2600,1162.0,0.000084,3.5061,
2650,1182.8,0.000079,3.5006,
2700,1205.2,0.000074,3.4954,
2750,1227.1,0.000070,3.4750,
2750,1227.1,,,3.6467
2800,1254.1,0.000065,3.4794,
2850,1276.4,0.000061,3.4641,
2900,1297.3,0.000057,3.4724,
2950,1318.2,0.000054,3.4590,
3000,1338.9,0.000050,3.4540,
3000,1338.9,,,3.6309
3050,1364.1,0.000047,3.4495,
3100,1389.9,0.000044,3.4503,
3150,1411.8,0.000042,3.4320,
3200,1433.8,0.000039,3.4369,
3250,1455.8,0.000037,3.4465,
3250,1455.8,,,3.6124
3300,1480.7,0.000035,3.4268,
3350,1503.3,0.000034,3.4286,
3400,1525.7,0.000032,3.4215,
3450,1547.6,0.000031,3.4243,
3500,1570.0,0.000031,3.4109,
3500,1570.0,,,3.6056
3550,1595.5,0.000030,3.4186,
3600,1620.2,0.000030,3.4205,
3600,1620.2,,,3.6029
