step,elapsed_sec,lr,train_loss,val_loss
50,17.1,0.000080,5.7276,
100,35.6,0.000153,3.9936,
150,53.7,0.000227,3.6161,
200,72.5,0.000300,3.4312,
250,90.6,0.000300,3.2085,
250,90.6,,,3.0958
300,111.1,0.000299,3.0588,
350,129.6,0.000299,2.9206,
400,147.8,0.000298,2.8232,
450,166.3,0.000296,2.7307,
500,184.9,0.000295,2.6829,
500,184.9,,,2.6135
550,205.8,0.000293,2.6112,
600,224.4,0.000291,2.5733,
650,242.9,0.000288,2.5257,
700,261.2,0.000286,2.4806,
750,279.7,0.000283,2.4330,
750,279.7,,,2.4193
800,300.8,0.000280,2.4093,
850,319.1,0.000276,2.3886,
900,337.2,0.000273,2.3575,
950,355.6,0.000269,2.3470,
1000,373.7,0.000265,2.3226,
1000,373.7,,,2.2929
1050,397.4,0.000260,2.2887,
1100,416.2,0.000256,2.2673,
1150,434.4,0.000251,2.2495,
1200,452.7,0.000246,2.2441,
1250,471.1,0.000241,2.2233,
1250,471.1,,,2.2049
1300,492.1,0.000236,2.2001,
1350,510.1,0.000231,2.1759,
1400,528.6,0.000225,2.1589,
1450,546.9,0.000220,2.1673,
1500,565.1,0.000214,2.1544,
1500,565.1,,,2.1382
1550,585.8,0.000208,2.1283,
1600,604.3,0.000202,2.1222,
1650,622.5,0.000196,2.1110,
1700,640.8,0.000190,2.1004,
1750,659.3,0.000184,2.0791,
1750,659.3,,,2.0904
1800,679.8,0.000177,2.0748,
1850,697.9,0.000171,2.0664,
1900,716.2,0.000165,2.0510,
1950,734.6,0.000159,2.0630,
2000,752.9,0.000153,2.0501,
2000,752.9,,,2.0504
2050,773.9,0.000146,2.0481,
2100,792.3,0.000140,2.0299,
2150,810.4,0.000134,2.0225,
2200,829.4,0.000128,2.0182,
2250,848.1,0.000122,2.0101,
2250,848.1,,,2.0256
2300,868.5,0.000116,2.0096,
2350,886.8,0.000110,1.9885,
2400,905.1,0.000105,1.9955,
2450,924.1,0.000099,1.9871,
2500,942.7,0.000094,1.9770,
2500,942.7,,,2.0007
2550,963.3,0.000089,1.9711,
2600,981.3,0.000084,1.9775,
2650,999.5,0.000079,1.9685,
2700,1018.2,0.000074,1.9727,
2750,1036.3,0.000070,1.9639,
2750,1036.3,,,1.9796
2800,1056.7,0.000065,1.9636,
2850,1075.0,0.000061,1.9631,
2900,1093.1,0.000057,1.9550,
2950,1111.3,0.000054,1.9443,
3000,1129.4,0.000050,1.9437,
3000,1129.4,,,1.9668
3050,1149.8,0.000047,1.9437,
3100,1168.9,0.000044,1.9387,
3150,1189.2,0.000042,1.9457,
3200,1208.5,0.000039,1.9412,
3250,1226.5,0.000037,1.9345,
3250,1226.5,,,1.9580
3300,1247.4,0.000035,1.9336,
3350,1266.1,0.000034,1.9392,
3400,1284.1,0.000032,1.9302,
3450,1302.5,0.000031,1.9353,
3500,1320.9,0.000031,1.9322,
3500,1320.9,,,1.9495
3550,1341.3,0.000030,1.9275,
3600,1359.4,0.000030,1.9252,
3600,1359.4,,,1.9465
